	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
3752	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3753	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3754	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3755	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3756	FAMU	COPPS	$16,183		2018-2019		
3757	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3758	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3759	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3760	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3761	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3762	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3763	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3764	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3765	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3766	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3767	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3768	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3769	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3770	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3771	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3772	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
3773	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3774	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3775	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3776	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3777	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3778	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3779	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3780	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3781	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3782	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3783	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3784	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3785	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3786	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3787	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3788	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3789	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3790	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3791	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3792	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3793	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3794	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3795			$39,000		2018-2019	4th	
3796			$39,000		2018-2019	4th	
3797	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3798	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3799	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3800	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3801	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3802	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3803	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3804	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3805	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3806	FAMU	COPPS	$16,183		2018-2019		
3807	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3808	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3809	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3810	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3811	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3812	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3813	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3814	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3815	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3816	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3817	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3818	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3819	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3820	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3821	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3822	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
3823	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3824	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3825	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3826	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3827	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3828	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3829	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3830	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3831	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3832	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3833	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3834	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3835	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3836	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3837	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3838	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3839	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3840	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3841	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3842	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3843	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3844	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3845			$39,000		2018-2019	4th	
3846			$39,000		2018-2019	4th	
3847	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3848	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3849	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3850	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3851	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3852	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3853	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3854	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3855	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3856	FAMU	COPPS	$16,183		2018-2019		
3857	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3858	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3859	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3860	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3861	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3862	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3863	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3864	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3865	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3866	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3867	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3868	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3869	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3870	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3871	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3872	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
3873	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
3874	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3875	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
3876	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3877	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3878	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3879	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3880	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3881	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3882	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3883	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3884	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3885	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3886	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3887	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3888	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3889	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3890	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3891	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3892	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3893	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3894	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3895			$39,000		2018-2019	4th	
3896			$39,000		2018-2019	4th	
3897	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
