	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
1593	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1594	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1595			$39,000		2018-2019	4th	
1596			$39,000		2018-2019	4th	
1597	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1598	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1599	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1600	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1601	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1602	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1603	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1604	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1605	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1606	FAMU	COPPS	$16,183		2018-2019		
1607	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1608	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1609	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1610	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1611	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1612	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1613	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1614	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1615	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1616	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1617	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1618	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1619	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1620	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1621	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1622	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1623	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1624	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1625	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1626	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1627	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1628	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1629	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1630	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1631	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1632	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1633	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1634	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1635	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1636	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1637	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1638	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1639	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1640	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1641	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1642	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1643	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1644	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1645			$39,000		2018-2019	4th	
1646			$39,000		2018-2019	4th	
1647	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1648	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1649	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1650	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1651	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1652	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1653	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1654	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1655	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1656	FAMU	COPPS	$16,183		2018-2019		
1657	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1658	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1659	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1660	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1661	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1662	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1663	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1664	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1665	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1666	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1667	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1668	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1669	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1670	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1671	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1672	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1673	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1674	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1675	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1676	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1677	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1678	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1679	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1680	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1681	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1682	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1683	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1684	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1685	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1686	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1687	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1688	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1689	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1690	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1691	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1692	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1693	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1694	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1695			$39,000		2018-2019	4th	
1696			$39,000		2018-2019	4th	
1697	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1698	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1699	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1700	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1701	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1702	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1703	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1704	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1705	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1706	FAMU	COPPS	$16,183		2018-2019		
1707	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1708	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1709	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1710	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1711	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1712	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1713	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1714	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1715	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1716	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1717	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1718	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1719	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1720	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1721	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1722	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1723	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1724	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1725	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1726	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1727	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1728	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1729	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1730	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1731	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1732	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1733	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1734	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1735	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1736	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1737	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1738	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1739	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1740	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1741	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1742	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1743	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1744	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1745			$39,000		2018-2019	4th	
1746			$39,000		2018-2019	4th	
1747	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1748	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1749	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1750	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1751	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1752	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1753	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1754	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1755	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1756	FAMU	COPPS	$16,183		2018-2019		
1757	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1758	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1759	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1760	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1761	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1762	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1763	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1764	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1765	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1766	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1767	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1768	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1769	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1770	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1771	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1772	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1773	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1774	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1775	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1776	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1777	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1778	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1779	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1780	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1781	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1782	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1783	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1784	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1785	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1786	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1787	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1788	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1789	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1790	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1791	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1792	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1793	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1794	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1795			$39,000		2018-2019	4th	
1796			$39,000		2018-2019	4th	
1797	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1798	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1799	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1800	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1801	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1802	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1803	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1804	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1805	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1806	FAMU	COPPS	$16,183		2018-2019		
1807	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1808	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1809	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1810	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1811	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1812	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1813	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1814	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1815	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1816	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1817	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1818	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1819	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1820	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1821	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1822	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1823	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1824	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1825	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1826	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1827	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1828	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1829	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1830	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1831	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1832	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1833	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1834	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1835	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1836	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1837	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1838	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1839	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1840	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1841	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1842	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1843	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1844	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1845			$39,000		2018-2019	4th	
1846			$39,000		2018-2019	4th	
1847	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1848	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1849	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1850	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1851	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1852	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1853	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1854	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1855	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1856	FAMU	COPPS	$16,183		2018-2019		
1857	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1858	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1859	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
